e_case_id,hbx_id,irs_group_id
2122804,DC054,1000000000000381
2122810,166173,1000000000000382
2122811,156212,1000000000000383
2122830,158197,1000000000000384
2112681,156238,1000000000000385
2122853,158170,1000000000000386
2112688,156241,1000000000000388
2122904,158194,1000000000000389
2122946,158204,1000000000000390
2112689,156288,1000000000000391
2122973,158186,1000000000000392
2122982,158257,1000000000000393
2122995,159125,1000000000000394
2123000,164107,1000000000000395
2123018,158171,1000000000000396
2123025,158166,1000000000000397
2123030,158168,1000000000000398
2123031,149456,1000000000000399
2123039,166970,1000000000000400
2123045,158153,1000000000000401
2123064,158172,1000000000000402
2123071,165318,1000000000000403
2123088,158198,1000000000000404
2123107,158199,1000000000000405
2123108,149205,1000000000000406
2123131,158178,1000000000000408
2112712,156255,1000000000000409
2123160,158185,1000000000000411
2123163,11020389,1000000000000412
2123189,158193,1000000000000415
2123203,158229,1000000000000417
2123224,158254,1000000000000418
2123231,158239,1000000000000419
2112726,156256,1000000000000420
2123262,158253,1000000000000421
2123276,158191,1000000000000422
2123279,158192,1000000000000423
2123282,158215,1000000000000424
2123290,158237,1000000000000425
2123291,158217,1000000000000426
2112729,156260,1000000000000427
2123309,158225,1000000000000429
2123312,158224,1000000000000430
2123330,175076,1000000000000432
2123335,158210,1000000000000433
2123344,158284,1000000000000434
2123351,158252,1000000000000435
2112733,157090,1000000000000436
2123354,158242,1000000000000437
2123357,158243,1000000000000438
2123362,158246,1000000000000439
2123367,168899,1000000000000440
2123384,158255,1000000000000441
2123398,158264,1000000000000442
2112736,3207147,1000000000000443
2123418,158295,1000000000000445
2123434,158298,1000000000000446
2123442,10000916,1000000000000447
2123483,165423,1000000000000448
2123496,158324,1000000000000449
2123510,158330,1000000000000450
2123513,160939,1000000000000451
2112744,156250,1000000000000452
2123546,165270,1000000000000453
2123561,158267,1000000000000455
2123572,158296,1000000000000456
2123575,158272,1000000000000457
2123578,158273,1000000000000458
2112751,156269,1000000000000459
2123624,167441,1000000000000460
2123629,158311,1000000000000461
2123645,162947,1000000000000463
2123697,170127,1000000000000464
2123700,163178,1000000000000465
2123751,172787,1000000000000466
2123765,158366,1000000000000467
2123769,158365,1000000000000468
2123772,158372,1000000000000469
2123776,158335,1000000000000470
2123785,163598,1000000000000471
2123796,158341,1000000000000472
2123851,162541,1000000000000473
2123859,158352,1000000000000474
2123879,167620,1000000000000475
2123894,159114,1000000000000476
2123948,163458,1000000000000477
2123951,158399,1000000000000478
2123973,158413,1000000000000479
2112796,167175,1000000000000480
2123978,18775186,1000000000000481
2123996,147452,1000000000000483
2123999,133835,1000000000000484
2124036,158375,1000000000000485
2124041,158378,1000000000000486
2124044,158379,1000000000000487
2124054,158677,1000000000000488
2124059,158286,1000000000000489
2124088,158398,1000000000000490
2124096,DC07,1000000000000491
2124120,158407,1000000000000493
2124149,136519,1000000000000494
2124154,DC074,1000000000000495
2124169,158415,1000000000000496
2112818,156283,1000000000000497
2124193,18773778,1000000000000498
2124214,147219,1000000000000499
